minute_id,minute
1,09:30
2,09:31
3,09:32
4,09:33
5,09:34
6,09:35
7,09:36
8,09:37
9,09:38
10,09:39
11,09:40
12,09:41
13,09:42
14,09:43
15,09:44
16,09:45
17,09:46
18,09:47
19,09:48
20,09:49
21,09:50
22,09:51
23,09:52
24,09:53
25,09:54
26,09:55
27,09:56
28,09:57
29,09:58
30,09:59
31,10:00
32,10:01
33,10:02
34,10:03
35,10:04
36,10:05
37,10:06
38,10:07
39,10:08
40,10:09
41,10:10
42,10:11
43,10:12
44,10:13
45,10:14
46,10:15
47,10:16
48,10:17
49,10:18
50,10:19
51,10:20
52,10:21
53,10:22
54,10:23
55,10:24
56,10:25
57,10:26
58,10:27
59,10:28
60,10:29
61,10:30
62,10:31
63,10:32
64,10:33
65,10:34
66,10:35
67,10:36
68,10:37
69,10:38
70,10:39
71,10:40
72,10:41
73,10:42
74,10:43
75,10:44
76,10:45
77,10:46
78,10:47
79,10:48
80,10:49
81,10:50
82,10:51
83,10:52
84,10:53
85,10:54
86,10:55
87,10:56
88,10:57
89,10:58
90,10:59
91,11:00
92,11:01
93,11:02
94,11:03
95,11:04
96,11:05
97,11:06
98,11:07
99,11:08
100,11:09
101,11:10
102,11:11
103,11:12
104,11:13
105,11:14
106,11:15
107,11:16
108,11:17
109,11:18
110,11:19
111,11:20
112,11:21
113,11:22
114,11:23
115,11:24
116,11:25
117,11:26
118,11:27
119,11:28
120,11:29
121,11:30
122,11:31
123,11:32
124,11:33
125,11:34
126,11:35
127,11:36
128,11:37
129,11:38
130,11:39
131,11:40
132,11:41
133,11:42
134,11:43
135,11:44
136,11:45
137,11:46
138,11:47
139,11:48
140,11:49
141,11:50
142,11:51
143,11:52
144,11:53
145,11:54
146,11:55
147,11:56
148,11:57
149,11:58
150,11:59
151,12:00
152,12:01
153,12:02
154,12:03
155,12:04
156,12:05
157,12:06
158,12:07
159,12:08
160,12:09
161,12:10
162,12:11
163,12:12
164,12:13
165,12:14
166,12:15
167,12:16
168,12:17
169,12:18
170,12:19
171,12:20
172,12:21
173,12:22
174,12:23
175,12:24
176,12:25
177,12:26
178,12:27
179,12:28
180,12:29
181,12:30
182,12:31
183,12:32
184,12:33
185,12:34
186,12:35
187,12:36
188,12:37
189,12:38
190,12:39
191,12:40
192,12:41
193,12:42
194,12:43
195,12:44
196,12:45
197,12:46
198,12:47
199,12:48
200,12:49
201,12:50
202,12:51
203,12:52
204,12:53
205,12:54
206,12:55
207,12:56
208,12:57
209,12:58
210,12:59
211,13:00
212,13:01
213,13:02
214,13:03
215,13:04
216,13:05
217,13:06
218,13:07
219,13:08
220,13:09
221,13:10
222,13:11
223,13:12
224,13:13
225,13:14
226,13:15
227,13:16
228,13:17
229,13:18
230,13:19
231,13:20
232,13:21
233,13:22
234,13:23
235,13:24
236,13:25
237,13:26
238,13:27
239,13:28
240,13:29
241,13:30
242,13:31
243,13:32
244,13:33
245,13:34
246,13:35
247,13:36
248,13:37
249,13:38
250,13:39
251,13:40
252,13:41
253,13:42
254,13:43
255,13:44
256,13:45
257,13:46
258,13:47
259,13:48
260,13:49
261,13:50
262,13:51
263,13:52
264,13:53
265,13:54
266,13:55
267,13:56
268,13:57
269,13:58
270,13:59
271,14:00
272,14:01
273,14:02
274,14:03
275,14:04
276,14:05
277,14:06
278,14:07
279,14:08
280,14:09
281,14:10
282,14:11
283,14:12
284,14:13
285,14:14
286,14:15
287,14:16
288,14:17
289,14:18
290,14:19
291,14:20
292,14:21
293,14:22
294,14:23
295,14:24
296,14:25
297,14:26
298,14:27
299,14:28
300,14:29
301,14:30
302,14:31
303,14:32
304,14:33
305,14:34
306,14:35
307,14:36
308,14:37
309,14:38
310,14:39
311,14:40
312,14:41
313,14:42
314,14:43
315,14:44
316,14:45
317,14:46
318,14:47
319,14:48
320,14:49
321,14:50
322,14:51
323,14:52
324,14:53
325,14:54
326,14:55
327,14:56
328,14:57
329,14:58
330,14:59
331,15:00
332,15:01
333,15:02
334,15:03
335,15:04
336,15:05
337,15:06
338,15:07
339,15:08
340,15:09
341,15:10
342,15:11
343,15:12
344,15:13
345,15:14
346,15:15
347,15:16
348,15:17
349,15:18
350,15:19
351,15:20
352,15:21
353,15:22
354,15:23
355,15:24
356,15:25
357,15:26
358,15:27
359,15:28
360,15:29
361,15:30
362,15:31
363,15:32
364,15:33
365,15:34
366,15:35
367,15:36
368,15:37
369,15:38
370,15:39
371,15:40
372,15:41
373,15:42
374,15:43
375,15:44
376,15:45
377,15:46
378,15:47
379,15:48
380,15:49
381,15:50
382,15:51
383,15:52
384,15:53
385,15:54
386,15:55
387,15:56
388,15:57
389,15:58
390,15:59
